form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate039,mu,3.pl.1.sg.fut.aff,ne muŋ an ti,ne Σ an ti,ne+Σ+ŋ+a+n+ti,n e Σ ŋ a n t i,n e + Σ + ŋ + a + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate040,mu,3.pl.1.pl.excl.fut.aff,ne muŋ an ti,ne Σ an ti,ne+Σ+ŋ+a+n+ti,n e Σ ŋ a n t i,n e + Σ + ŋ + a + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate041,mu,3.pl.1.pl.incl.fut.aff,ne muŋ an ti,ne Σ an ti,ne+Σ+ŋ+a+n+ti,n e Σ ŋ a n t i,n e + Σ + ŋ + a + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate042,mu,3.sg.2.sg.fut.aff,muŋ a ti,Σ a ti,Σ+ŋ+a+ti,Σ ŋ a t i,Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate043,mu,3.sg.2.pl.fut.aff,muŋ a ti,Σ a ti,Σ+ŋ+a+ti,Σ ŋ a t i,Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate044,mu,3.pl.2.sg.fut.aff,muŋ an ti,Σ an ti,Σ+ŋ+an+ti,Σ ŋ a n t i,Σ + ŋ + a n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate045,mu,3.pl.2.pl.fut.aff,muŋ an ti,Σ an ti,Σ+ŋ+an+ti,Σ ŋ a n t i,Σ + ŋ + a n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate046,mu,3.sg.3.sg.fut.aff,muŋ a ti,Σ a ti,Σ+ŋ+a+ti,Σ ŋ a t i,Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate047,mu,3.sg.3.pl.fut.aff,muŋ a ti,Σ a ti,Σ+ŋ+a+ti,Σ ŋ a t i,Σ + ŋ + a + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate048,mu,3.pl.3.sg.fut.aff,muŋ an ti,Σ an ti,Σ+ŋ+an+ti,Σ ŋ a n t i,Σ + ŋ + a n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate049,mu,3.pl.3.pl.fut.aff,muŋ an ti,Σ an ti,Σ+ŋ+an+ti,Σ ŋ a n t i,Σ + ŋ + a n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate050,fe,1.sg.fut.neg,fe no niŋ,Σ no niŋ,Σ+no+niŋ,Σ n o n i ŋ,Σ + n o + n i ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
